ERROR 2025-05-06 03:25:03,207 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:25:41,782 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:25:46,302 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:26:38,082 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:26:38,811 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:29:28,816 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:29:29,387 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:32:12,339 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:32:12,886 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:32:54,352 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:32:54,932 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:33:50,616 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:33:51,125 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:34:09,476 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:34:09,960 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:39:05,164 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:39:05,711 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:41:21,022 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:41:21,589 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:42:29,671 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:42:30,211 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
INFO 2025-05-06 03:46:04,250 Auth info was exported to ./.tmp/auth_info.json api\debug\debug.cpp:17 xcx@DESKTOP-R38IOME
ERROR 2025-05-06 03:46:04,934 NE_RS_UNBLDRE: Unable to load application resource file /resources/favicon.ico api\debug\debug.cpp:20 xcx@DESKTOP-R38IOME
